               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.060948,             0.26674,                   0,             0.19219,              0.6759,             0.16082,            0.085213,            0.056282,             0.27498,                   0,           0.0002674,           0.0002674,           0.0002674
                  39,            0.061772,             0.27438,                   0,             0.19137,             0.67133,              0.1604,            0.083969,            0.055997,             0.28443,                   0,           0.0002476,           0.0002476,           0.0002476
                  40,            0.062072,             0.27713,                   0,             0.19101,             0.67115,             0.15774,            0.081184,            0.055589,             0.28762,                   0,           0.0002278,           0.0002278,           0.0002278
                  41,            0.061187,               0.282,                   0,             0.19199,             0.67933,             0.16007,            0.084668,            0.055124,             0.29295,                   0,            0.000208,            0.000208,            0.000208
                  42,            0.062144,             0.28449,                   0,             0.19178,              0.6803,             0.16025,            0.085485,            0.055156,             0.28975,                   0,           0.0001882,           0.0001882,           0.0001882
                  43,            0.061034,             0.28984,                   0,             0.19182,              0.6781,             0.16013,            0.081614,            0.055225,             0.28188,                   0,           0.0001684,           0.0001684,           0.0001684
                  44,            0.060192,             0.26437,                   0,             0.19174,             0.67572,             0.15951,            0.082964,            0.054986,             0.28376,                   0,           0.0001486,           0.0001486,           0.0001486
                  45,            0.060173,             0.29008,                   0,             0.19277,             0.67792,             0.16119,            0.085409,            0.054643,             0.28084,                   0,           0.0001288,           0.0001288,           0.0001288
                  46,            0.062447,             0.30402,                   0,             0.19228,              0.6861,             0.16146,            0.085429,            0.054726,             0.29193,                   0,            0.000109,            0.000109,            0.000109
                  47,            0.061064,             0.27302,                   0,              0.1922,             0.68768,             0.16123,            0.085492,            0.055708,             0.28592,                   0,            8.92e-05,            8.92e-05,            8.92e-05
                  48,            0.060617,             0.25612,                   0,             0.19226,             0.68877,             0.16134,            0.086581,             0.05422,             0.27745,                   0,            6.94e-05,            6.94e-05,            6.94e-05
                  49,            0.060319,             0.26501,                   0,             0.19298,             0.68738,             0.16207,            0.086127,             0.05419,             0.27931,                   0,            4.96e-05,            4.96e-05,            4.96e-05
