               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.061592,             0.26856,                   0,             0.91528,             0.75141,              0.8162,             0.42708,            0.055428,             0.21978,                   0,           0.0002674,           0.0002674,           0.0002674
                  39,            0.062572,             0.27434,                   0,             0.89979,             0.74528,             0.80443,             0.41387,            0.055759,             0.22163,                   0,           0.0002476,           0.0002476,           0.0002476
                  40,            0.062519,             0.27732,                   0,              0.9165,             0.75353,             0.80941,              0.4064,            0.054491,             0.21959,                   0,           0.0002278,           0.0002278,           0.0002278
                  41,            0.061466,               0.282,                   0,             0.91936,              0.7551,             0.81432,             0.41786,             0.05452,             0.21937,                   0,            0.000208,            0.000208,            0.000208
                  42,            0.062557,             0.28521,                   0,             0.92037,             0.75745,             0.81753,              0.4293,            0.053677,             0.21702,                   0,           0.0001882,           0.0001882,           0.0001882
                  43,            0.061249,             0.29046,                   0,             0.91637,             0.75571,             0.81578,             0.40502,            0.054565,             0.21741,                   0,           0.0001684,           0.0001684,           0.0001684
                  44,            0.060354,             0.26509,                   0,              0.9163,             0.75271,             0.81206,             0.42162,            0.053617,             0.21701,                   0,           0.0001486,           0.0001486,           0.0001486
                  45,            0.060426,             0.29057,                   0,             0.91457,             0.75325,              0.8133,             0.42116,            0.053557,             0.21666,                   0,           0.0001288,           0.0001288,           0.0001288
                  46,             0.06266,             0.30492,                   0,             0.91616,             0.75358,             0.81415,             0.42301,             0.05339,             0.21634,                   0,            0.000109,            0.000109,            0.000109
                  47,            0.060892,             0.27377,                   0,             0.92035,             0.75775,             0.81806,             0.42488,            0.053931,             0.21745,                   0,            8.92e-05,            8.92e-05,            8.92e-05
                  48,            0.061029,             0.25667,                   0,             0.92491,             0.76106,             0.82182,             0.43494,            0.053082,             0.21619,                   0,            6.94e-05,            6.94e-05,            6.94e-05
                  49,            0.060379,             0.26586,                   0,             0.92426,             0.76024,             0.82132,             0.43131,            0.053137,             0.21622,                   0,            4.96e-05,            4.96e-05,            4.96e-05
